Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Lindungilah aku terhadap katupan jerat yang mereka pasang terhadap aku, dan dari perangkap orang-orang yang melakukan kejahatan.	Palopottagi abdidalem dhari jira’ sareng jebbak se epasang reng-oreng jahat.
Orang-orang fasik akan jatuh serentak ke dalam jala mereka, tetapi aku melangkah lalu.	Moga reng-oreng gapaneka eparengngana tabalusok ka jira’na dibi’, namong abdidalem moga salamedda.
Untuk pemimpin biduan. Mazmur Daud. Luputkanlah aku, ya TUHAN, dari pada manusia jahat, jagalah aku terhadap orang yang melakukan kekerasan,	Kaangguy pamimpinna koor. Jaburra Daud. Pasalamettagi abdidalem dhari oreng daraka, GUSTE, jaga’agi abdidalem ngadhebbi oreng se ngalakone kakerrasan.
yang merancang kejahatan di dalam hati, dan setiap hari menghasut-hasut perang!	Reng-oreng gapaneka asajja jahat e dhalem ate, matokaran oreng sabban are.
Mereka menajamkan lidahnya seperti ular, bisa ular senduk ada di bawah bibirnya. Sela	Jilana akadi olar se badha opassa, cacana akadi opassa olar sendhu’.
Peliharalah aku, ya TUHAN, terhadap tangan orang fasik, jagalah aku terhadap orang yang melakukan kekerasan, yang bermaksud menjatuhkan aku.	Adhu GUSTE, palopottagi abdidalem dhari kobasana oreng jahat, jaga’agi abdidalem ngadhebbi oreng se ngalakone kakerrasan se amaksod maancora abdidalem.
Orang congkak dengan sembunyi memasang jerat terhadap aku, dan mereka membentangkan tali-tali sebagai jaring, di sepanjang jalan mereka menaruh perangkap terhadap aku. Sela	Oreng angga’ ta’ asa’-kasa’ masang jira’ nangkebba abdidalem, sareng masang jaring mega’a abdidalem. E salanjangnga lorong reng-oreng gapaneka masang jebbak ajira’a abdidalem.
Aku berkata kepada TUHAN: "Allahku Engkau, berilah telinga, ya TUHAN, kepada suara permohonanku!"	Adhu GUSTE, abdidalem mator: Junandalem Allah abdidalem, peyarsa’agi du’a parnyo’onan abdidalem.
Ya ALLAH, Tuhanku, kekuatan keselamatanku, Engkau menudungi kepalaku pada hari pertarungan senjata.	Guste ALLAH, Pangeran kaula, Allah se kowat, panyalamedda abdidalem, Junandalem masalamet abdidalem e dhalem paperrangan.
Ya TUHAN, jangan penuhi keinginan orang fasik, jangan luluskan tipu rencananya! Sela	Ja’ kabbuli pangaterroepon oreng jahat, GUSTE, ja’ kantos sajjaepon reng-oreng gapaneka ahasel.
Orang-orang yang mengelilingi aku meninggikan kepala; biarlah bencana yang diucapkan mereka menimpa mereka!	Ja’ kantos moso abdidalem mennang; moga caca se jahat se ekoca’agi reng-oreng gapaneka eparengngana ngenneng ka badanna oreng se metenna abdidalem ka’dhinto.
Biarlah Ia menghujani mereka dengan bara api! Biarlah Ia menjatuhkan mereka ke dalam jurang sehingga tidak bangkit lagi!	Moga reng-oreng gapaneka kaojanana mardha, sareng ebuwang ka dhalem lobangnga maot, kantos ta’ bisa kalowar pole.
Pemfitnah tidak akan diam tetap di bumi; orang yang melakukan kekerasan akan diburu oleh malapetaka.	Moga oreng se ngalakone kakerrasan manggiya balai, ja’ edine tokang petenna ngennengnge bume.
Aku tahu, bahwa TUHAN akan memberi keadilan kepada orang tertindas, dan membela perkara orang miskin.	Abdidalem oneng Junandalem apareng kaadilan ka oreng se tatendhes, sareng nolonge parkarana oreng se mesken.
Sungguh, orang-orang benar akan memuji nama-Mu, orang-orang yang jujur akan diam di hadapan-Mu.	Oreng jujur badhi ngagungngagiya Junandalem; sadajana padha apolonga sareng Junandalem.
Untuk pemimpin biduan. Mazmur Daud. TUHAN, Engkau menyelidiki dan mengenal aku;	Kaangguy pamimpinna koor. Jaburra Daud. GUSTE, Junandalem nalektegi abdidalem sareng ngagali kabadha’annepon abdidalem.
Engkau mengetahui, kalau aku duduk atau berdiri, Engkau mengerti pikiranku dari jauh.	Junandalem ngagali sadaja se elakone abdidalem; dhari jauna Junandalem ampon ngagali ponapa se epekker abdidalem.
Engkau memeriksa aku, kalau aku berjalan dan berbaring, segala jalanku Kaumaklumi.	Junandalem ngoladi abdidalem, e bakto abdidalem alalakon otaba bu-ambu lesso, Junandalem ngagali sadaja se elakone abdidalem.
Sebab sebelum lidahku mengeluarkan perkataan, sesungguhnya, semuanya telah Kauketahui, ya TUHAN.	La’-mala’ sabellunnepon abdidalem acaca, Junandalem ampon ngagali ponapa se ekoca’agiya abdidalem.
Dari belakang dan dari depan Engkau mengurung aku, dan Engkau menaruh tangan-Mu ke atasku.	Abdidalem ekalenglenge Junandalem dhari sadajana paddu, eaobi kalaban kobasaepon Junandalem.
Terlalu ajaib bagiku pengetahuan itu, terlalu tinggi, tidak sanggup aku mencapainya.	Pangataowannepon Junandalem ka’dhinto monggu ka abdidalem talebat dhalemma, pekkeran abdidalem ta’ bisa ngarte.
Ke mana aku dapat pergi menjauhi roh-Mu, ke mana aku dapat lari dari hadapan-Mu?	Ka ka’dhimma abdidalem nyengga’a sopaja lopoda dhari kobasaepon Junandalem? Ka ka’dhimma abdidalem se buruwa ajauwi Junandalem?
Jika aku mendaki ke langit, Engkau di sana; jika aku menaruh tempat tidurku di dunia orang mati, di situpun Engkau.	Manabi abdidalem ongga ka langnge’, Junandalem badha e ka’issa’; manabi abdidalem tedhung e dunnyana oreng mate, Junandalem badha jugan e kennengngan gapaneka.
Jika aku terbang dengan sayap fajar, dan membuat kediaman di ujung laut,	Manabi abdidalem ngabber lebat e konco’ temorra langnge’ otabana enneng e konco’ bara’na,
juga di sana tangan-Mu akan menuntun aku, dan tangan kanan-Mu memegang aku.	e ka’dhissa’ Junandalem tanto badha jugan se nolonga abdidalem; e ka’dhissa’ Junandalem tanto badha jugan se nontona abdidalem.
Jika aku berkata: "Biarlah kegelapan saja melingkupi aku, dan terang sekelilingku menjadi malam,"	Manabi abdidalem makon petteng notobi abdidalem, otabana tera’ e sakalenglengnga abdidalem aoba daddi malem,
maka kegelapanpun tidak menggelapkan bagi-Mu, dan malam menjadi terang seperti siang; kegelapan sama seperti terang.	se petteng gapaneka ta’ petteng monggu ka Junandalem; malem gapaneka tera’ akadi seyang, se petteng akadi terrang.
Sebab Engkaulah yang membentuk buah pinggangku, menenun aku dalam kandungan ibuku.	Junandalem nyepta’agi saneyap bagiyan badan abdidalem, abadhi abdidalem e dhalem gandhu’annepon ebu.
Aku bersyukur kepada-Mu oleh karena kejadianku dahsyat dan ajaib; ajaib apa yang Kaubuat, dan jiwaku benar-benar menyadarinya.	Abdidalem ngagungngagi Junandalem sabab Junandalem talebat lowar biyasa! Sadaja se elampa’agi Junandalem ajib sareng makasambu’ ate, abdidalem apangrasa onggu parkara gapaneka.
Tulang-tulangku tidak terlindung bagi-Mu, ketika aku dijadikan di tempat yang tersembunyi, dan aku direkam di bagian-bagian bumi yang paling bawah;	E bakto lang-tolang abdidalem epadaddi, ebung-sambung epatete e gandhu’annepon ebu, e bakto abdidalem e gandhu’annepon ebu atamba raja ta’ kalaban ekaonenge oreng, abdidalem paddhang ka Junandalem.
mata-Mu melihat selagi aku bakal anak, dan dalam kitab-Mu semuanya tertulis hari-hari yang akan dibentuk, sebelum ada satupun dari padanya.	Junandalem ngoladi abdidalem e bakto abdidalem gi’ badha e dhalem gandhu’annepon ebu; sadajana ampon ecathet e ketappepon Junandalem; re-arena ampon etantowagi sabellunnepon badha se emolae.
Dan bagiku, betapa sulitnya pikiran-Mu, ya Allah! Betapa besar jumlahnya!	Ya Allah, panggaliyannepon Junandalem ce’ malaradda monggu ka abdidalem, sareng talebat bannya’na!
Jika aku mau menghitungnya, itu lebih banyak dari pada pasir. Apabila aku berhenti, masih saja aku bersama-sama Engkau.	Manabi sareng abdidalem ebitong, abannya’an dhari beddhi; manabi abdidalem jaga tedhung, abdidalem gi’ mekkere Junandalem.
Sekiranya Engkau mematikan orang fasik, ya Allah, sehingga menjauh dari padaku penumpah-penumpah darah,	Ya Allah, patompessagi reng-oreng jahat, pajauwagi dhari abdidalem reng-oreng se dujan mate’e oreng!
yang berkata-kata dusta terhadap Engkau, dan melawan Engkau dengan sia-sia.	Reng-oreng gapaneka acaca juba’ parkara Junandalem, sareng asompa palsu bit tha-kotthaepon Junandalem.
Masakan aku tidak membenci orang-orang yang membenci Engkau, ya TUHAN, dan tidak merasa jemu kepada orang-orang yang bangkit melawan Engkau?	GUSTE, abdidalem baji’ ka reng-oreng se baji’ ka Junandalem, abdidalem caremmet ka reng-oreng se ta’ atoro’ ka Junandalem.
Aku sama sekali membenci mereka, mereka menjadi musuhku.	Abdidalem ce’ baji’na ka reng-oreng gapaneka, sareng abdidalem eanggep moso sadajana.
Selidikilah aku, ya Allah, dan kenallah hatiku, ujilah aku dan kenallah pikiran-pikiranku;	Talektegi abdidalem, Guste Allah, oladi essena ate ka’dhinto, ojiyagi abdidalem, sopaja Junandalem ngagali ka pekkeran abdidalem.
lihatlah, apakah jalanku serong, dan tuntunlah aku di jalan yang kekal!	Oladi manabi badha kajahadan e aba’ abdidalem, sareng tontonnagi abdidalem e jalan se langgeng.
Dari Daud. Aku hendak bersyukur kepada-Mu dengan segenap hatiku, di hadapan para allah aku akan bermazmur bagi-Mu.	Dhari Daud. Abdidalem asokkora ka Junandalem, GUSTE, kantos ka dhasarra ate. E ajunannepon sadajana diba abdidalem anyanyeyagi pojiyan kaagem Junandalem.
Aku hendak sujud ke arah bait-Mu yang kudus dan memuji nama-Mu, oleh karena kasih-Mu dan oleh karena setia-Mu; sebab Kaubuat nama-Mu dan janji-Mu melebihi segala sesuatu.	Abdidalem asojud ngadhep ka Padalemmannepon Junandalem se socce sambi ngagungngagi asmaepon Junandalem, sabab Junandalem esto sareng ta’ pegga’ taresnana. Junandalem lebbi ngotama’agi janjiepon, katembang pamanggina oreng parkara Junandalem.
Pada hari aku berseru, Engkaupun menjawab aku, Engkau menambahkan kekuatan dalam jiwaku.	E bakto abdidalem aserro ka Junandalem, Junandalem nyaodi, Junandalem makowat ate abdidalem kantos abdidalem daddi bangal.
Semua raja di bumi akan bersyukur kepada-Mu, ya TUHAN, sebab mereka mendengar janji dari mulut-Mu;	Sadajana rato e bume amolja’agiya Junandalem, GUSTE, sabab to-rato gapaneka ampon mereng parkara janjiepon Junandalem.
mereka akan menyanyi tentang jalan-jalan TUHAN, sebab besar kemuliaan TUHAN.	To-rato gapaneka anyanye parkara se elampa’agi Junandalem sareng parkara kaagungannepon Junandalem se talebat rajana.
TUHAN itu tinggi, namun Ia melihat orang yang hina, dan mengenal orang yang sombong dari jauh.	Junandalem talebat molja, namong se nespa sareng Junandalem egateyagi jugan, oreng sombong ta’ kengeng ngetek dhari Junandalem.
Jika aku berada dalam kesesakan, Engkau mempertahankan hidupku; terhadap amarah musuhku Engkau mengulurkan tangan-Mu, dan tangan kanan-Mu menyelamatkan aku.	E bakto abdidalem manggi kasossa’an, Junandalem nolonge kantos abdidalem teptep odhi’ salamet. Junandalem alabannagi ka moso abdidalem se ngamok, masalamet abdidalem sareng kobasaepon.
TUHAN akan menyelesaikannya bagiku! Ya TUHAN, kasih setia-Mu untuk selama-lamanya; janganlah Kautinggalkan perbuatan tangan-Mu!	Junandalem bakal neptebbi janjiepon ka abdidalem; kataresna’anna Junandalem langgeng tadha’ obana. Palastareyagi lalakon se ampon emolae sareng Junandalem.
Di tepi sungai-sungai Babel, di sanalah kita duduk sambil menangis, apabila kita mengingat Sion.	E penggirra ngay-songay Babil sengko’ ban reng-oreng laenna toju’ sambi nanges mon enga’ ka Siyon.
Pada pohon-pohon gandarusa di tempat itu kita menggantungkan kecapi kita.	E ka-bungkana gandarusa e nagara jareya sengko’ ban reng-oreng laenna macangke’ calempong andhi’na bang-sebang.
Sebab di sanalah orang-orang yang menawan kita meminta kepada kita memperdengarkan nyanyian, dan orang-orang yang menyiksa kita meminta nyanyian sukacita: "Nyanyikanlah bagi kami nyanyian dari Sion!"	Reng-oreng se nawan sengko’ ban reng-oreng laenna nyoro sengko’ kabbi anyanye kaangguy reng-oreng jareya. Reng-oreng se nendhes sengko’ ban reng-oreng laenna nyoro sengko’ kabbi anyanye nyanyeyan-nyanyeyan se gumbira, "Mara sengko’ ban reng-oreng laenna anyanyeyagi nyanyeyan-nyanyeyan dhari Siyon!"
Bagaimanakah kita menyanyikan nyanyian TUHAN di negeri asing?	Baramma sengko’ ban reng-oreng laenna se bisa’a anyanye e nagara manca?
Jika aku melupakan engkau, hai Yerusalem, biarlah menjadi kering tangan kananku!	Mandar sengko’ ta’ bisa’a anyanye pole, mon sengko’ sampe’ loppa ka ba’na, Yerusalim!
Biarlah lidahku melekat pada langit-langitku, jika aku tidak mengingat engkau, jika aku tidak jadikan Yerusalem puncak sukacitaku!	Mandar sengko’ ta’ bisa’a anyanye pole, mon sengko’ loppa ka ba’na ban ta’ nganggep ba’na se masenneng tang ate!
Ingatlah, ya TUHAN, kepada bani Edom, yang pada hari pemusnahan Yerusalem mengatakan: "Runtuhkan, runtuhkan sampai ke dasarnya!"	Kaemodi, GUSTE, ponapa se elakone oreng Edom e bakto Yerusalim epamosna. Reng-oreng gapaneka ngoca’, "Pagujur, pagujur sampe’ ka sar-dhasarra!"
Hai puteri Babel, yang suka melakukan kekerasan, berbahagialah orang yang membalas kepadamu perbuatan-perbuatan yang kaulakukan kepada kami!	He Babil, ba’na bakal epaancora! Pojur oreng se males ka kajahadanna ba’na, kajahadan se eteba’agi ka sengko’ sarta reng-oreng laenna.
Berbahagialah orang yang menangkap dan memecahkan anak-anakmu pada bukit batu!	Pojur oreng se ngala’ ji’-babaji’na ba’na pas ngontallagi ji’-babaji’ jareya ka gumo’ bato!
Bersyukurlah kepada TUHAN, sebab Ia baik! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Mara asokkor ka PANGERAN, sabab PANGERAN reya sae; kataresna’anna langgeng tadha’ obana.
Bersyukurlah kepada Allah segala allah! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Mara asokkor ka Allah Se Settong; kataresna’anna langgeng tadha’ obana.
Bersyukurlah kepada Tuhan segala tuhan! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Mara asokkor ka Pangeran Se Mahatenggi; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang seorang diri melakukan keajaiban-keajaiban besar! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Coma Salerana se mabadha kaajiban-kaajiban se raja; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang menjadikan langit dengan kebijaksanaan! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Kalaban kabicaksana’anna Salerana abadhi langnge’; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang menghamparkan bumi di atas air! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se ngampar bume e attassa aeng; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang menjadikan benda-benda penerang yang besar; bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se abadhi sabarang se tera’ e langnge’; kataresna’anna langgeng tadha’ obana;
Matahari untuk menguasai siang; bahwasanya untuk selama-lamanya kasih setia-Nya.	se abadhi are se epangobasane seyang; kataresna’anna langgeng tadha’ obana;
Bulan dan bintang-bintang untuk menguasai malam! Bahwasanya untuk selama-lamanya kasih setia-Nya.	bulan ban tang-bintang se epangobasane malem; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang memukul mati anak-anak sulung Mesir; bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se mate’e na’-ana’ sareyang e Messer; kataresna’anna langgeng tadha’ obana.
Dan membawa Israel keluar dari tengah-tengah mereka; bahwasanya untuk selama-lamanya kasih setia-Nya.	Isra’il ebakta kalowar dhari Messer; kataresna’anna langgeng tadha obana;
Dengan tangan yang kuat dan dengan lengan yang teracung! Bahwasanya untuk selama-lamanya kasih setia-Nya.	kalaban astana se kowat ban parjuga; kataresna’anna langgeng tadha’ obana;
Kepada Dia yang membelah Laut Teberau menjadi dua belahan; bahwasanya untuk selama-lamanya kasih setia-Nya.	Tase’ Galagas eseba’ madhuwa; kataresna’anna langgeng tadha’ obana;
Dan menyeberangkan Israel dari tengah-tengahnya; bahwasanya untuk selama-lamanya kasih setia-Nya.	Isra’il ommadda ebakta alengka tase’ jareya; kataresna’anna langgeng tadha’ obana.
Dan mencampakkan Firaun dengan tentaranya ke Laut Teberau! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Tape rato Messer ban tantarana epatasellem tadha’ karena; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang memimpin umat-Nya melalui padang gurun! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se mimpin ommadda lebat e ra-ara; kataresna’anna langgeng tadha’ obana.
Kepada Dia yang memukul kalah raja-raja yang besar; bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se makala to-rato se parjuga; kataresna’anna langgeng tadha’ obana;
Dan membunuh raja-raja yang mulia; bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana se mate’e to-rato se kasohor; kataresna’anna langgeng tadha’ obana;
Sihon, raja orang Amori; bahwasanya untuk selama-lamanya kasih setia-Nya.	Sihon, rato Amori; kataresna’anna langgeng tadha’ obana;
Dan Og, raja negeri Basan; bahwasanya untuk selama-lamanya kasih setia-Nya.	ban Og, rato Basyan; kataresna’anna langgeng tadha’ obana.
Dan memberikan tanah mereka menjadi milik pusaka; bahwasanya untuk selama-lamanya kasih setia-Nya.	Nagarana erampas, eparengngagi ka ommadda; kataresna’anna langgeng tadha’ obana;
Milik pusaka kepada Israel, hamba-Nya! Bahwasanya untuk selama-lamanya kasih setia-Nya.	epadaddi andhi’na Isra’il abdina; kataresna’anna langgeng tadha’ obana.
Dia yang mengingat kita dalam kerendahan kita; bahwasanya untuk selama-lamanya kasih setia-Nya.	Salerana ta’ kalep ka sengko’ ban ba’na e bakto epakala; kataresna’anna langgeng tadha’ obana.
Dan membebaskan kita dari pada para lawan kita; bahwasanya untuk selama-lamanya kasih setia-Nya.	Sengko’ ban ba’na epalopot dhari tanangnga moso; kataresna’anna langgeng tadha’ obana.
Dia yang memberikan roti kepada segala makhluk; bahwasanya untuk selama-lamanya kasih setia-Nya.	Saneyap mahlok eparenge pakan; kataresna’anna langgeng tadha’ obana.
Bersyukurlah kepada Allah semesta langit! Bahwasanya untuk selama-lamanya kasih setia-Nya.	Mara asokkor ka Allah se ngobasane langnge’; kataresna’anna langgeng tadha’ obana.
Haleluya! Pujilah nama TUHAN, pujilah, hai hamba-hamba TUHAN,	Molja’agi PANGERAN! Molja’agi asmana PANGERAN, mara molja’agi, para abdina
hai orang-orang yang datang melayani di rumah TUHAN, di pelataran rumah Allah kita!	se abakte e Padalemman Socce e kalenggiyanna Allahna sengko’ ban ba’na.
Pujilah TUHAN, sebab TUHAN itu baik, bermazmurlah bagi nama-Nya, sebab nama itu indah!	Molja’agi PANGERAN, sabab Pangeran reya sae, molja’agi asmana, sabab Salerana lamba’ ate.
Sebab TUHAN telah memilih Yakub bagi-Nya, Israel menjadi milik kesayangan-Nya.	Yakub epele epadaddi kaagunganna, ommat Isra’il epondhut Salerana.
