Berfirmanlah TUHAN kepada Musa:	Dhabuna PANGERAN ka Mosa,
Seratus talenta perak dipakai untuk menuang alas-alas tempat kudus dan alas-alas tiang tabir itu, seratus alas sesuai dengan seratus talenta itu, jadi satu talenta untuk satu alas.	Salaka jareya se tello ebu pa’ ratos kilo ekagabay langganna canggana Kemah Socce se bannya’na saratos meggi’ ban ekagabay kennengnganna bir-tabir. Tong-settongnga langganna berra’na tello polo empa’ kilo.
Dari yang seribu tujuh ratus tujuh puluh lima syikal itu dibuatnyalah kaitan-kaitan untuk tiang-tiang itu, disalutnyalah kepala tiang itu dan dihubungkannya tiang-tiang itu dengan penyambung-penyambung.	Dhari karena salaka jareya, se bannya’na tello polo kilo, Bezale’el agabay bung-panyambungnga ban ke’-cangke’na ga-canggana, sarta totobba co’-konco’na ga-cangga jareya.
Tembaga dari persembahan unjukan itu ada tujuh puluh talenta dan dua ribu empat ratus syikal.	Paronggu se egabay tor-ator ka PANGERAN bannya’na kabbi dhu ebu pa’ ratos sagame’ kilo.
Dari padanya dibuatnyalah alas-alas pintu Kemah Pertemuan, dan mezbah tembaga dengan kisi-kisi tembaganya, segala perkakas mezbah itu,	Paronggu jareya ekagabay langganna labangnga Kemah Socce, mezba ban kaba’ anggi’anna, sarta sakabbinna parlengkabanna mezba,
alas-alas pelataran sekelilingnya, alas-alas pintu gerbang pelataran itu, segala patok Kemah Suci dan segala patok pelataran sekelilingnya.	langganna bir-tabir e sakalenglengnga taneyan ban e labang sakethengnga, sakabbinna rajegga Kemah ban jek-rajegga taneyan e sakalenglengnga.
Bezaleel membuat tabut itu dari kayu penaga, dua setengah hasta panjangnya, satu setengah hasta lebarnya, dan satu setengah hasta tingginya.	Bezale’el agabay Petthe Parjanjiyan dhari kaju akasia, lanjangnga saratos sapolo sentimeter, lebarra ban tenggina padha sabidak ennem sentimeter.
Disalutnyalah itu dengan emas murni, dari dalam dan dari luar, dan dibuatnyalah bingkai emas sekelilingnya.	Bagiyan dhalem ban lowarra ekole’e emmas morne ban e sakalenglengnga epobuwi palepet emmas.
Dituangnyalah empat gelang emas untuk tabut itu, pada keempat penjurunya, yaitu dua gelang pada rusuknya yang satu dan dua gelang pada rusuknya yang kedua.	Saellana jareya pas egabayyagi long-kolong emmas pa’-empa’ kaangguy panyekkadanna kol-pekolla, long-kolong jareya epasang e sokona petthe se pa’-empa’, dhadhuwa’ salaja.
Dibuatnyalah kayu pengusung dari kayu penaga dan disalutnyalah itu dengan emas.	Kaju kol-pekolla ekagabay dhari kaju akasia, ekole’e emmas,
Dan dimasukkannyalah kayu pengusung itu ke dalam gelang yang pada rusuk tabut itu, supaya tabut dapat diangkut.	kol-pekolla jareya emaso’agi ka dhalem long-kolong e gir-penggirra petthe jareya.
Dibuatnyalah tutup pendamaian dari emas murni, dua setengah hasta panjangnya dan satu setengah hasta lebarnya.	Petthe jareya pas egabayyagi kodhung dhari emmas morne, lanjangnga saratos sapolo sentimeter ban lebarra sabidak ennem sentimeter.
Dibuatnyalah dua kerub dari emas, dari emas tempaan dibuatnya itu, pada kedua ujung tutup pendamaian itu,	Kodhungnga egabayyagi kerub dhadhuwa’ dhari emmas tempa’an, esaba’ e konco’na kodhungnga, settong salaja. Kerub se dhadhuwa’ jareya daddi settong ban kodhungnga,
Kerub-kerub itu mengembangkan kedua sayapnya ke atas, sayap-sayapnya menudungi tutup pendamaian itu dan mukanya menghadap kepada masing-masing; kepada tutup pendamaian itulah menghadap muka kerub-kerub itu.	ban epadhep-adhebban, kalembangnga ebarbar notobi kodhungnga petthena.
Dibuatnyalah meja itu dari kayu penaga, dua hasta panjangnya, sehasta lebarnya dan satu setengah hasta tingginya.	Bezale’el agabay meja dhari kaju akasia, se lanjangnga ballung polo ballu’ sentimeter, lebarra pa’ polo empa’ sentimeter, ban tenggina sabidak ennem sentimeter.
Disalutnyalah itu dengan emas murni dan dibuatnya bingkai emas sekelilingnya.	Meja jareya ekole’e emmas morne ban e sakalenglengnga epobuwi palepet emmas.
Dibuatnyalah sekelilingnya jalur pinggir yang setapak tangan lebarnya dan dibuatnya bingkai emas sekeliling jalur pinggirnya itu.	Saellana jareya pas epobuwi penggirra meja se lebarra pettong satengnga sentimeter ban epobuwi palepet emmas e sakalenglengnga.
Dituangnyalah untuk meja itu empat gelang emas dan dipasangnyalah gelang-gelang itu di keempat penjurunya, pada keempat kakinya.	Meja jareya egabayyagi keya long-kolong pa’-empa’ kaangguy panyekkadanna kol-pekolla, long-kolong jareya epasang e padduna sokona se pa’-empa’.
Dekat ke jalur pinggirnyalah gelang itu, yakni tempat memasukkan kayu pengusung, supaya meja itu dapat diangkut.	Long-kolong panyekkadanna kaju kol-pekol jareya epasang e seddi’anna penggirra meja.
Dibuatnyalah kayu pengusung itu dari kayu penaga dan disalutnya dengan emas, yaitu supaya meja itu dapat diangkut.	Kol-pekolla ekagabay dhari kaju akasia se ekole’e emmas.
Dan dibuatnyalah perkakas yang di atas meja itu, yakni pinggannya, cawannya, piala dan kendinya, yang dipakai untuk persembahan curahan, semuanya dari emas murni.	Bezale’el agabay keya reng-pereng, ker-cangker, dhi-gendhi ban la-piala se ekagabaya baddhana anggur tor-ator ka Pangeran, kabbi padha dhari emmas morne.
Dibuatnyalah kandil itu dari emas murni; dari emas tempaan dibuatnya kandil itu, baik kakinya baik batangnya; kelopaknya--dengan tombolnya dan kembangnya--dibuat seiras dengan kandil itu.	Bezale’el agabay panongko’anna damar dhari emmas morne. Langgan ban gu’-teggu’na dhari emmas tempa’an; bang-kembang rarengganna, iya areya kembang ban bungkella, epamasettong ban gu’-teggu’na.
Ada enam cabang timbul dari sisinya: tiga cabang kandil itu dari sisi yang satu dan tiga cabang dari sisi yang lain.	E gu’-teggu’na jareya epobuwi cangka nem-ennem, tatello’ salaja.
Tiga kelopak yang berupa bunga badam pada cabang yang satu--dengan tombol dan kembangnya--dan tiga kelopak yang serupa pada cabang yang lain--dengan tombol dan kembangnya--;demikian juga dibuat keenam cabang yang timbul dari kandil itu.	Saneyap cangkana epasange rarenggan aropa kembang badam tatello’, iya areya kembang ban bungkella.
Pada kandil itu sendiri ada empat kelopak berupa bunga badam--dengan tombolnya dan kembangnya.	Gu’-teggu’na epobuwi rarenggan aropa kembang badam pa’-empa’, iya areya kembang ban bungkella.
Juga ada satu tombol di bawah sepasang cabang yang pertama yang timbul dari kandil itu, dan satu tombol di bawah yang kedua, dan satu tombol di bawah yang ketiga; demikianlah juga dibuat keenam cabang yang timbul dari situ.	Saneyap sapasang cangka e baba’anna epobuwi kembang settong.
Tombol dan cabang itu timbul dari kandil itu, dan semuanya itu dibuat dari sepotong emas tempaan yang murni.	Panongko’anna damar jareya ban bang-kembangnga sarta ka-cangkana ekagabay dhari emmas bungkol tempa’an se morne.
Dibuatnyalah pada kandil itu tujuh lampu dengan sepitnya dan penadahnya dari emas murni.	Panongko’anna damar jareya egabayyagi damar papetto’ epagenna’ ban pakakas se eangguya aberse’e sombuna sarta tatagga se ekagabay dhari emmas morne.
Dari satu talenta emas murni dibuatnyalah kandil itu dengan segala perkakasnya.	Panongko’anna damar ban parlengkabanna jareya ekagabay dhari emmas morne se bannya’na tello polo lema’ kilo.
Dibuatnyalah mezbah pembakaran ukupan itu dari kayu penaga, sehasta panjangnya dan sehasta lebarnya, empat persegi, tetapi dua hasta tingginya; tanduk-tanduknya seiras dengan mezbah itu.	Bezale’el agabay mezba pangobbarranna dupa, ekagabay dhari kaju akasia. Mezba jareya masagi empa’; lanjangnga ban lebarra padha pa’ polo lema’ sentimeter, ban tenggina sangang polo sentimeter. É padduna se pa’-empa’ e bagiyan attas epasange dhu’-tandhu’ se masettong ban meja jareya.
Disalutnyalah itu dengan emas murni, bidang atasnya dan bidang-bidang sisinya sekelilingnya, serta tanduk-tanduknya. Dibuatnyalah bingkai emas sekelilingnya.	Bagiyan attassa, bagiyan erengnga se pa’-empa’ ban dhu’-tandhu’na ekole’e emmas morne ban e sakalenglengnga epobuwi palepet emmas.
Dibuatnyalah dua gelang emas untuk mezbah itu di bawah bingkainya, pada kedua rusuknya, pada kedua bidang sisinya, sebagai tempat memasukkan kayu pengusung, supaya dengan itu mezbah dapat diangkut.	E baba’anna palepet emmas gella’ e bagiyan erengnga se dhadhuwa’ epobuwi keya long-kolong dhadhuwa’ kaangguy panyekkadanna kaju kol-pekolla mezba jareya.
Dan dibuatnyalah kayu pengusung itu dari kayu penaga dan disalutnya dengan emas.	Kol-pekolla ekagabay dhari kaju akasia ban ekole’e emmas.
Dan dibuatnyalah minyak urapan yang kudus itu dan ukupan murni dari wangi-wangian, seperti buatan seorang tukang campur rempah-rempah.	Bezale’el agabay keya mennya’na opacara ban dupa morne se ro’om, ecampor akantha mennya’ ro’om.
Mereka menerima dari pada Musa seluruh persembahan khusus, yang telah dibawa oleh orang Israel untuk melaksanakan pekerjaan mendirikan tempat kudus. Tetapi orang Israel itu masih terus membawa pemberian sukarela kepada Musa tiap-tiap pagi.	Sombanganna reng-oreng Isra’il kaangguy kaparlowanna se maddegga Kemah Socce bi’ Mosa eparengngagi kabbi ka reng-oreng jareya. Tape sabban laggu reng-oreng Isra’il gi’ terros ngeba sombangan ka Mosa.
Dan segala orang ahli yang melakukan seluruh pekerjaan untuk tempat kudus itu, datanglah masing-masing dari pekerjaan yang dilakukannya,	Kang-tokang se teppa’na alako jareya
dan berkata kepada Musa: "Rakyat membawa lebih banyak dari yang diperlukan untuk mengerjakan pekerjaan yang diperintahkan TUHAN untuk dilakukan."	pas mator ka Mosa, "Sombanganna reng-oreng paneka ampon lebbi dhari se ekaparlo kaangguy lalakon se epakonnagi sareng PANGERAN."
Lalu Musa memerintahkan, supaya dimaklumkan di mana-mana di perkemahan itu, demikian: "Tidak usah lagi ada orang laki-laki atau perempuan yang membuat sesuatu menjadi persembahan khusus bagi tempat kudus." Demikianlah rakyat itu dicegah membawa persembahan lagi.	Daddi Mosa laju ngomommagi e saanterona parkemahan ja’ sombangan kaangguy Kemah Socce la cokop; daddi reng-oreng laju ta’ ngeba pa-apa pole.
Sebab bahan yang diperlukan mereka telah cukup untuk melakukan segala pekerjaan itu, bahkan berlebih.	Sombangan se la eatorragi lebbi dhari cokop kaangguy mamare sakabbinna lalakon jareya.
Lalu semua ahli di antara tukang-tukang itu membuat Kemah Suci dari sepuluh tenda dari lenan halus yang dipintal benangnya dan dari kain ungu tua, kain ungu muda dan kain kirmizi; dengan ada kerubnya, buatan ahli tenun, dibuat orang semuanya itu.	Saellana jareya reng-oreng se paleng ahli e antarana kang-tokang jareya agabay Kemah Socce. Kemah jareya ekagabay dhari kaen linen alos se etennon ban wol bungo, bungo terrong ban mera, sarta esolam ban gambarra rub-kerub; kaen jareya bannya’na sapolo potong.
Panjang tiap-tiap tenda dua puluh delapan hasta dan lebar tiap-tiap tenda empat hasta: semua tenda itu sama ukurannya.	Tong-sapotongnga padha okoranna; lanjangnga dhubellas meter ban lebarra dhu meter.
Lima dari tenda itu dirangkap menjadi satu, dan yang lima lagi juga dirangkap menjadi satu.	Se lema potong ejai’ epadaddi settong, bariya keya lema potongnga.
Pada rangkapan yang pertama, di tepi satu tenda yang di ujung, dibuatlah sosok-sosok kain ungu tua dan demikian juga di tepi satu tenda yang paling ujung pada rangkapan yang kedua.	E penggirra kaen sambungan se dhadhuwa’ jareya epobuwi panyangke’an dhari kaen bungo,
Lima puluh sosok dibuat orang pada tenda yang pertama dan lima puluh sosok pada tenda yang di ujung pada rangkapan yang kedua, sehingga sosok-sosok itu tepat berhadapan satu sama lain.	bannya’na ja-salajana saeket meggi’, se salaja eppas ban salajanna.
Dibuatlah lima puluh kaitan emas dan disambunglah tenda-tenda Kemah Suci, yang satu dengan yang lain, dengan memakai kaitan itu, sehingga menjadi satu.	Saellana jareya pas egabayyagi e’-kae’ emmas bannya’na saeket meggi’, epanyambung panyangke’an e kaen sambungan se dhu gebbar gella’.
Dibuatlah tenda-tenda dari bulu kambing menjadi atap kemah yang menudungi Kemah Suci, sebelas tenda dibuat orang.	Saellana jareya reng-oreng gella’ agabay ata’na Kemah jareya dhari kaen sabellas potong se ekagabay dhari buluna embi’.
Panjang tiap-tiap tenda tiga puluh hasta dan empat hasta lebarnya tiap-tiap tenda: yang sebelas tenda itu sama ukurannya.	Tong-sapotongnga padha okoranna, lanjangnga tello bellas meter ban lebarra dhu meter.
Disambunglah lima dari tenda itu dengan tersendiri dan enam dari tenda itu dengan tersendiri.	Se lema potong esambung epasettong, ban nem potongnga bariya keya.
Dibuatlah lima puluh sosok pada rangkapan yang pertama di tepi satu tenda yang di ujung, dan dibuat lima puluh sosok di tepi satu tenda pada rangkapan yang kedua.	E penggirra kaen sambungan se bannya’na lema potong epobuwi panyangke’an saeket meggi’, bariya keya e penggirra kaen sambungan settonganna, se bannya’na nem potong.
Dibuat oranglah lima puluh kaitan tembaga untuk menyambung tenda-tenda kemah itu, sehingga menjadi satu.	Saellana jareya laju ekagabay e’-kae’ dhari paronggu epanyambung kaen sambungan se dhu gebbar jareya, epadaddi settong ata’na Kemah.
Juga dibuatlah untuk kemah itu tudung dari kulit domba jantan yang diwarnai merah, dan tudung dari kulit lumba-lumba di atasnya lagi.	Saellana jareya reng-oreng jareya agabay totobba Kemah jareya dhadhuwa’ aggi’, se settong dhari kole’na dumba lake’ se epamera, ban settonganna dhari kole’ se alos.
Dibuat oranglah untuk Kemah Suci itu papan dari kayu penaga yang berdiri tegak,	Saellana jareya kang-tokang gella’ agabay barangkana Kemah se epangadek dhari kaju akasia.
sepuluh hasta panjangnya satu papan dan satu setengah hasta lebarnya tiap-tiap papan.	Saneyap rangka tenggina pa’ meter ban lebarra sabidak ennem sentimeter,
Tiap-tiap papan ada dua pasaknya yang disengkang satu sama lain; demikianlah diperbuat dengan segala papan Kemah Suci.	epobuwi panyangke’an sang-sapasang, daddi ka-rangka jareya ekenneng saleng sambung.
Dibuat oranglah papan-papan untuk Kemah Suci, dua puluh papan pada sebelah selatan.	Bagiyan lao’na Kemah rangkana dhu polo meggi’,
Dan empat puluh alas perak dibuat orang di bawah kedua puluh papan itu, dua alas di bawah satu papan untuk kedua pasaknya, dan seterusnya dua alas di bawah setiap papan untuk kedua pasaknya.	ngangguy langgan pa’ polo meggi’ dhari salaka, sabban rangka langganna dhadhuwa’, parlona kaangguy panyekka’anna panyangke’anna.
Juga dibuat orang untuk sisi yang kedua dari Kemah Suci, pada sebelah utara, dua puluh papan	Bagiyan dhajana Kemah bannya’na rangkana dhu polo meggi’,
dengan empat puluh alas peraknya: dua alas di bawah satu papan dan seterusnya dua alas di bawah setiap papan.	ngangguy langgan pa’ polo meggi’ dhari salaka, sabban rangka langganna dhadhuwa’.
Untuk sisi belakang Kemah Suci, pada sebelah barat, dibuat oranglah enam papan.	Bagiyan budhina Kemah se penggir bara’ bannya’na rangkana nem-ennem
Dua papan dibuat orang untuk sudut Kemah Suci, di sisi belakang.	ban e padduna bagiyan budhi ngangguy rangka dhadhuwa’.
Kedua papan itu kembar pasaknya di sebelah bawah dan seperti itu juga kembar pasaknya di sebelah atas, di dekat gelang yang satu itu, demikianlah dibuat orang dengan kedua papan yang untuk kedua sudutnya itu.	Ka-rangkana paddu jareya esambung e bagiyan babana terros sampe’ ka bagiyan attassa. Rangka se dhadhuwa’ se ekagabay padduna epakantha jareya keya gabayanna.
Jadi ada delapan papan dengan alas peraknya: enam belas alas; dua-dua alas di bawah satu papan.	Daddi kabbi rangkana badha baballu’, ngangguy langgan salaka nem bellas meggi’, sabban rangka langganna dhadhuwa’.
Dibuatlah juga kayu lintang dari kayu penaga: lima untuk papan-papan pada sisi yang satu dari Kemah Suci,	Saellana jareya kang-tokang gella’ laju agabay kaju se malang lema bellas meggi’, ekagabay dhari kaju akasia, se lalema’ esaba’ e ka-rangka bagiyan erengnga Kemah se kangan,
lima kayu lintang untuk papan-papan pada sisi yang kedua dari Kemah Suci, dan lima kayu lintang untuk papan-papan Kemah Suci yang merupakan sisi belakangnya, pada sebelah barat.	lalema’na esaba’ e bagiyan erengnga se kacer ban lalema’na e bagiyan budhina Kemah se penggir bara’.
Dibuat oranglah kayu lintang yang di tengah menjadi melintang terus di tengah-tengah papan-papan itu dari ujung ke ujung.	Kaju se malang se e tengnga tenggina epasang satengngana tenggina rangkana, dhari konco’na Kemah se settong ka konco’ settonganna.
Papan-papan itu disalut dengan emas, gelang-gelang itu dibuat dari emas sebagai tempat memasukkan kayu-kayu lintang itu, dan kayu-kayu lintang itu disalut dengan emas.	Rangkana Kemah ban ju-kaju se malang jareya ekole’e emmas; ka-rangka jareya pas epobuwi long-kolong emmas egabay panyekka’anna ju-kaju se malang.
Dibuatlah tabir itu dari kain ungu tua, dan kain ungu muda, kain kirmizi dan lenan halus yang dipintal benangnya; dibuat dengan ada kerubnya, buatan ahli tenun.	Kemah jareya egabayyagi bir-tabir dhari linen se alos se etennon ban wol bungo, bungo terrong ban mera, sarta pas esolam ban gambarra kerub.
Dibuat oranglah untuk itu empat tiang dari kayu penaga dan disalutlah itu dengan emas, dengan ada kaitannya dari emas, lagi dituanglah empat alas perak untuk tiang itu.	Kaangguy pagantonganna bir-tabir jareya egabayyagi cangga pa’-empa’, dhari kaju akasia se ekole’e emmas, epobuwi ke’-cangke’ emmas, ga-cangga jareya epasang e attassa langgan salaka se bannya’na pa’-empa’.
Juga dibuat oranglah tirai untuk pintu kemah itu dari kain ungu tua, kain ungu muda, kain kirmizi dan lenan halus yang dipintal benangnya: tenunan yang berwarna-warna;	Labangnga Kemah egabayyagi bir-tabir dhari kaen linen alos se etennon ban wol bungo, bungo terrong ban mera, se erengga ban solaman.
