Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Benhadad, raja Aram, mengumpulkan seluruh tentaranya, tiga puluh dua orang raja bersama-sama dia beserta kuda dan kereta. Lalu ia maju, ia mengepung Samaria dan memeranginya.	E settong are Benhadad, rato Siria, makompol tantarana kabbi, pas asareng ban tello polo dhuwa’ rato laenna se abakta kareta perrang ban jaranna, ngeppong alorok kottha Samaria.
Kemudian ia mengirim utusan ke kota itu, kepada Ahab, raja Israel,	Saellana jareya pas ngotos oreng ka Ahab, rato Isra’il se badha e kottha jareya epakon manapa’ dhabuna kantha reya,
dengan pesan: "Beginilah pesan Benhadad: Emasmu dan perakmu adalah milikku, dan juga isteri-isteri dan anak-anakmu yang cantik-cantik adalah milikku."	"Rato Benhadad makon junandalem massra’agi salaka sareng emmassepon junandalem, jugan ji-rajina sareng tra-pottrana se wat-kowat."
Raja Israel menjawab, katanya: "Seperti bicaramu itulah, ya tuanku raja. Aku ini dengan segala yang ada padaku adalah milikmu!"	Dhabuna Ahab, "Atorragi ka Rato Benhadad ja’ sengko’ narema ka dhabuna jareya. Sengko’ ban sabarang tang andhi’ olle pondhut."
Sesudah itu utusan-utusan itu kembali dan berkata: "Beginilah pesan Benhadad: Memang aku telah menyuruh orang kepadamu mengatakan: Emas dan perakmu, isteri-isteri dan anak-anakmu harus kauserahkan kepadaku,	Saellana jareya para otosan gella’ abali pole ka Ahab manapa’a dhabu laenna dhari Benhadad. Atorra para otosan jareya, "Gi’ dhimen rato abdidalem makon junandalem massra’agi ka salerana emmas sareng salakana junandalem, jugan para raji sareng tra-pottrana.
tetapi besok kira-kira pada waktu ini, aku akan menyuruh pegawai-pegawaiku kepadamu dan mereka akan menggeledah rumahmu dan rumah pegawai-pegawaimu, maka segala yang mereka lihat dan ingini akan mereka ambil dan mereka bawa."	Samangken Rato Benhadad ngotos para parwirana epakon nyaloksak karatonna junandalem sareng compo’epon ba-ponggabana junandalem, sabarang se eanggep aji epakon bakta. Para parwira gapaneka bakal dhatengnga ka ka’dhinto lagguepon baja mangken."
Lalu raja Israel memanggil semua tua-tua negeri itu dan berkata: "Camkanlah, orang ini mengikhtiarkan kecelakaan kita, sebab ia telah menyuruh orang kepadaku meminta isteri-isteriku, anak-anakku, emas dan perakku, dan aku tidak menolak memberikannya kepadanya."	Rato Ahab pas adikane para pamimpin Isra’il pas adhabu, "Sateya ba’na padha tao dibi’ ja’ oreng reya macalaka’a sengko’ ban ba’na. Dha’-adha’na sengko’ epaksa esoro massra’agi sakabbinna tang bine ban tang ana’ sarta tang emmas ban salaka, parenta jareya bi’ sengko’ la etorodi."
Lalu kata semua tua-tua dan segenap rakyat itu kepadanya: "Jangan dengarkan, jangan luluskan!"	Para pamimpinna ra’yat jareya padha ngoca’, "Ampon diggal ja’ parduli, guste! Ampon ja’ torodi."
Sebab itu ia berkata kepada utusan-utusan Benhadad: "Katakanlah kepada tuanku raja: Segala yang pertama kali kausuruhkan kepada hambamu ini, aku akan melakukannya, tetapi tuntutan yang kemudian ini tidak dapat kupenuhi." Lalu pergilah utusan-utusan itu dan menyampaikan jawab itu kepada Benhadad.	Daddi Ahab adhabu ka para otosanna Benhadad, "Atorragi ka ratona ba’na ja’ sengko’ endha’ norodi papakonna se dha’-adha’, tape se nomer dhuwa’ sengko’ ta’ endha’." Para otosan jareya ondur, tape pas abali pole ka Ahab ngeba pessen laen,
Benhadad menyuruh orang kepada Ahab dengan pesan: "Beginilah kiranya para allah menghukum aku, bahkan lebih lagi dari pada itu, jika rakyat yang mengikut aku masih dapat menjemput segenggam penuh debu puing Samaria!"	"Rato abdidalem ngerema tantarana se talebat bannya’na malejjara kotthaepon junandalem, kantos abuna jur-gujuranna kottha ka’dhinto kengeng eangko’ kantos tadha’ namong sareng tanangngepon tantara gapaneka. Benhadad asompa mandar eokoma para dibana, la’-mala’ mandar salerana epateyana sareng ba-dibana manabi gapaneka ta’ ejalannagi sareng salerana!"
Tetapi raja Israel menjawab, katanya: "Katakanlah! Orang yang baru menyandangkan pedang janganlah memegahkan diri seperti orang yang sudah menanggalkannya."	Dhabuna Rato Ahab, "Kabala ka Rato Benhadad: Parjurit se saongguna arassa gumbira samarena aperrang, banne sabellunna."
Segera sesudah Benhadad mendengar perkataan itu, pada waktu ia sedang minum-minum dengan raja-raja di pondok, berkatalah ia kepada pegawai-pegawainya: "Aturlah barisanmu," lalu mereka mengatur barisannya melawan kota itu.	Dhabuna Ahab jareya epanapa’ ka Benhadad e bakto teppa’na nom-enoman ban to-rato laen se daddi sakutuna e dhalem parkemahanna. Meyarsa kabar jareya Benhadad laju makon para parwirana sopaja asanat entara alorok kottha Samaria. Daddi kabbi laju padha asanat.
Tetapi tiba-tiba tampillah seorang nabi kepada Ahab, raja Israel, serta berkata: "Beginilah firman TUHAN: Sudahkah kaulihat semua orang yang sangat ramai itu? Bahwasanya pada hari ini Aku akan menyerahkan mereka ke dalam tanganmu, supaya engkau tahu, bahwa Akulah TUHAN."	Sabatara jareya badha settong nabbi manggi’i Rato Ahab laju adhabu, "Ca’epon dhabuna PANGERAN, ‘Ba’na nangale’e ka tantara se sabannya’na rowa? Bi’ Sengko’ ba’na epamennanga e are teya, sopaja ba’na tao ja’ sengko’ reya PANGERAN.’"
Lalu bertanyalah Ahab: "Dengan bantuan siapa?" Jawabnya: "Beginilah firman TUHAN: Dengan bantuan orang-orang muda pengiring kepala-kepala daerah." Tanyanya pula: "Siapakah yang akan memulai perang?" Jawabnya: "Engkau!"	"Pasera se kodu nyerrang kaadha’?" ca’na patanyana Ahab. Dhabuna nabbi jareya, "Menorot dhabuna PANGERAN rit-parjurit se gi’ ngodha pangerengnga para kapala dhaera." "Pasera se kodu mimpin pasukan se aloroga paneka?" "Junandalem dibi’," dhabuna nabbi jareya.
Kemudian ia menghitung jumlah orang-orang muda pengiring kepala-kepala daerah itu. Ada dua ratus tiga puluh dua orang banyaknya dan sesudah mereka itu ia menghitung jumlah seluruh rakyat, yakni segenap orang Israel. Ada tujuh ribu orang banyaknya.	Daddi rato laju makompol rit-parjuridda se gi’ ngodha se daddi pangerengnga para kapala dhaera. Kabbi bannya’na dhu ratos tello polo dhuwa’ oreng. Bariya keya para tantara Isra’il, kabbi bannya’na pettong ebu oreng.
Lalu mereka maju menyerang pada waktu tengah hari, sementara Benhadad minum-minum sampai mabuk di pondoknya, bersama dengan ketiga puluh dua raja yang membantunya.	Se alorok emolae ban-aban e bakto Benhadad ban rato se tello polo dhuwa’ oreng se daddi sakutuna rowa teppa’na nom-enoman sampe’ mabu’ e parkemahanna.
Ketika orang-orang muda pengiring kepala-kepala daerah itu maju menyerang lebih dahulu, maka Benhadad menyuruh orang menyelidiknya, dan mereka memberitahukan kepadanya, demikian: "Ada orang-orang maju menyerang dari Samaria."	Se maju kaadha’ iya areya rit-parjurit se gi’ ngodha gella’. Reng-oreng se bi’ Benhadad epakon nyendhemme moso, areppot ka Benhadad ja’ sakalompo’ tantara nojju ka jadhiya dhari Samaria.
Lalu katanya: "Entah mereka datang dengan maksud damai, entah dengan maksud perang, tangkaplah mereka hidup-hidup!"	Benhadad apareng parenta sopaja tantarana moso jareya epega’ dhi’-odhi’, ta’ parduli se dhateng jareya aperranga otaba entara menta dhame.
Sementara itu keluarlah mereka itu dari dalam kota, yakni orang-orang muda pengiring kepala-kepala daerah dan juga tentara yang mengikuti mereka.	Rit-parjurit se gi’ ngodha se epamangkat bi’ Rato Ahab rowa molae mangkat dhari Samaria, etoro’ bunte’ bi’ tantara Isra’il.
Lalu mereka masing-masing membunuh lawan yang dihadapinya, sehingga orang Aram itu melarikan diri dan dikejar oleh orang Israel. Tetapi Benhadad, raja Aram dapat meluputkan diri dengan naik kuda, beserta sejumlah orang berkuda.	Kabbi padha mate’e moso se eadhebbi bang-sebang. Reng-oreng Siria buru, eserser bi’ oreng Isra’il. Tape Benhadad ngenneng buru, netene jaranna eerengngagi pan-barampan tantara jaranna.
Juga raja Israel maju, lalu memusnahkan kuda dan kereta itu dan mendatangkan kekalahan yang besar kepada orang Aram.	Rato Ahab noro’ aperrang keya laju maancor ta-kareta perrangnga moso ban mate’e ran-jaranna. E are jareya oreng Siria ngalame kakala’an se raja.
Lalu tampillah nabi itu kepada raja Israel dan berkata kepadanya: "Baiklah, kuatkanlah hatimu, pertimbangkan dan pikirkanlah apa yang harus kauperbuat, sebab pada pergantian tahun raja Aram akan maju menyerang engkau."	Saellana jareya nabbi jareya nyabis ka Ahab laju adhabu, "Samangken junandalem gubar sareng makoko partahanan, pas abadhi rancana se mateng, sabab rato Siria bakal aloroga e mosem semme se bakal dhateng ka’dhinto."
Pegawai-pegawai raja Aram berkata kepadanya: "Allah mereka ialah allah gunung; itulah sebabnya mereka lebih kuat dari pada kita. Tetapi apabila kita berperang melawan mereka di tanah rata, pastilah kita lebih kuat dari pada mereka.	Ra-parwirana Rato Benhadad mator ka ratona, "La’-alla’an se esemba Isra’il kobasa e pagunongan; ka’dhinto lantarannepon aponapa bangsa Siria me’ epakala sareng bangsa gapaneka. Namong bangsa Siria masthe mennang manabi aperrang e tana rendha.
Bertindaklah begini: Pecatlah raja-raja itu masing-masing dari kedudukannya, dan angkatlah bupati-bupati menggantikan mereka.	Samangken langkong sae rato se tello polo dhuwa’ oreng ka’dhissa’ panyese, gante’e sareng ra-parwiraepon junandalem dibi’.
Lalu kerahkanlah tentara sebanyak tentara yang telah gugur dari pihakmu itu, demikian pula kuda dan kereta sebanyak yang dahulu. Marilah kita berperang melawan mereka di tanah rata, pastilah kita lebih kuat dari pada mereka." Raja mendengarkan usul mereka, dan bertindak demikian.	Saamponna pas pamangkat pasukan se raja akadi pasukannepon junandalem se epakala ka’dhissa’, toro’e jaran sareng kareta perrang se bannya’epon akadi se gi’ dhimen jugan. Ngereng aperrang sareng Isra’il e tana rendha, tanto Siria mennang." Rato Benhadad atoro’ ka babala’anna ra-parwirana jareya.
Dalam tahun yang berikutnya Benhadad memeriksa barisan orang Aram, lalu ia maju ke Afek untuk berperang melawan orang Israel.	E mosem semme saellana jareya laju mamangkat tantarana ka kottha Afek aloroga oreng Isra’il.
Orang Israelpun memeriksa barisannya dan setelah dibekali mereka berangkat menghadapi orang Aram. Orang Israel berkemah di hadapan mereka seperti dua kawanan kambing, sedang orang Aram telah datang membanjiri negeri itu.	Bariya keya tantara Isra’il padha epakalowar ban epagenna’ gagamanna. Tantara jareya laju mangkat epadaddi dhu pasukan se akemah dhep-adhebban ban reng-oreng Siria. Mon ebandhing ban tantara Siria se mencar mossa’e dhaera jareya, pasukan Isra’il katon pera’ akantha embi’ dhu ambalan.
Maka tampillah abdi Allah dan berkata kepada raja Israel: "Beginilah firman TUHAN: Oleh karena orang Aram itu telah berkata: TUHAN ialah allah gunung dan bukan allah dataran, maka Aku akan menyerahkan seluruh tentara yang besar itu ke dalam tanganmu, supaya kamu tahu, bahwa Akulah TUHAN."	Pas badha settong nabbi nyabis ka Ahab laju adhabu, "Kadi ka’dhinto dhabuna PANGERAN: ‘Sarrena reng-oreng Siria rowa nyangka ja’ Sengko’ reya pera’ kobasa e tana pagunongan malolo ban ta’ kobasa e tana rendha, bi’ Sengko’ ba’na epamennanga ka tantarana Siria se talebat rajana rowa. Ba’na ban ra’yadda bakal taowa ja’ Sengko’ reya PANGERAN.’"
Tujuh hari lamanya mereka berkemah berhadap-hadapan. Tetapi pada hari yang ketujuh mulailah pertempuran, dan pada suatu hari orang Israel menewaskan seratus ribu orang berjalan kaki dari orang Aram itu.	Pettong are abidda oreng Siria ban oreng Isra’il paggun neng e parkemahanna bang-sebang, saleng dhep-adhebban. E are se kapeng petto’ buru molae akeket. E dhalem paperrangan jareya oreng Isra’il mate’e saratos ebu oreng Siria.
Orang-orang yang masih tinggal melarikan diri ke Afek, ke dalam kota, tetapi temboknya roboh menimpa kedua puluh tujuh ribu orang yang masih tinggal itu. Sementara itu Benhadad melarikan diri dan masuk ke kota, dan bersembunyi dari satu kamar ke kamar yang lain.	Reng-oreng se loka buru ka kottha Afek, tape pagar alassa kottha jareya gujur, petto lekor ebu oreng Siria ekacecce’e. Bariya keya Benhadad buru ka kottha jareya, ngetek e settong bengko e kamar bagiyan dhalem.
Lalu berkatalah pegawai-pegawainya kepadanya: "Ketahuilah, kami telah mendengar, bahwa raja-raja kaum Israel itu adalah raja-raja pemurah. Marilah kita menaruh kain kabung pada pinggang kita dan tali pada kepala kita, dan dengan demikian keluar menghadap raja Israel; barangkali ia akan menyelamatkan nyawamu."	Para parwirana nyabis sambi mator kantha reya, "Ca’epon oreng, to-rato Isra’il bellasan ka oreng. Daddi, abdidalem sadaja nyo’ona edi nyabisa ka rato Isra’il ngangguya kalambi karong menangka panyessellan sareng tale e le’er menangka tandha atellok. Moga-moga saos junandalem ta’ epateyana."
Lalu mereka melilitkan kain kabung pada pinggang mereka dan tali pada kepala mereka, kemudian mereka pergi menghadap raja Israel sambil berkata: "Hambamu Benhadad berkata: Kiranya tuanku membiarkan aku hidup." Jawabnya: "Masih hidupkah dia? Dia saudaraku."	Daddi para parwira jareya ngangguy kalambi karong ban tale e le’erra, pas ngadhep ka Ahab sambi mator, "Benhadad abdiepon junandalem nyo’on ka junandalem sopaja ta’ epateyana." Saodda Ahab, "Apa tang taretan jareya gi’ odhi’?"
Orang-orang itu menganggap hal itu sebagai tanda yang baik, maka segeralah mereka berpegang pada perkataannya itu, lalu berkata: "Memang saudaramu Benhadad!" Sesudah itu berkatalah Ahab: "Pergilah, ambil dia!" Jadi keluarlah Benhadad mendapatkan dia, lalu diajak naik ke atas kereta.	Para parwirana Benhadad jareya pajat gi’ anante’ tandha se bagus dhari Ahab. Daddi, e bakto Ahab nyebbut "taretan," laju nyaot, "Lerres, Benhadad taretannepon junandalem." Dhabuna Ahab, "Kassa’ giba dha’ enna’!" Sanapa’na ka jadhiya, Benhadad eajak netene kareta.
Kata Benhadad kepadanya: "Kota-kota yang telah diambil bapaku dari pihak bapamu akan kukembalikan; engkau boleh juga membuat pasar bagimu di Damsyik, seperti yang dibuat bapaku di Samaria." "Dan aku sendiri," kata Ahab, "akan membiarkan engkau pergi dengan perjanjian." Lalu ia mengadakan perjanjian dengan dia dan membiarkannya pergi.	Benhadad laju mator, "Kaula mabaliya ka panjennengngan tha-kottha se erebbu’ rama kaula dhari ramana panjennengngan. Panjennengngan kengeng jugan maddek pusadda kennengnganna pardagangan e kottha Damsyik akadi se elampa’agi rama kaula e Samaria." Saodda Ahab, "Adhasar janjina sampeyan ganeka, bi’ kaula sampeyan epabebasa." Saellana jareya Ahab mabadha parjanjiyan ban Benhadad laju eocol.
Seorang dari rombongan nabi berkata kepada temannya atas perintah TUHAN: "Pukullah aku!" Tetapi orang itu menolak memukulnya.	Kalaban dhabuna PANGERAN, sala settong e antarana sakalompo’ nabbi makon kancana se padha nabbi keya sopaja mokol aba’na. Tape kancana jareya ta’ kasokan.
Lalu ia berkata kepadanya: "Oleh sebab engkau tidak mendengarkan suara TUHAN, ketahuilah, apabila engkau pergi dari padaku, seekor singa akan menerkam engkau." Dan ketika orang itu pergi dari padanya, maka seekor singa bertemu dengan dia, lalu menerkam dia.	Nabbi gella’ laju adhabu, "Sarrena sampeyan ta’ atoro’ ka dhabuna PANGERAN, sampeyan bakal eceppa’a macan mon sampeyan dhaggi’ buru paleman dhari ka’iya." Bendher onggu. Buru mangkat dhari jadhiya, nabbi buru laju eceppa’ macan.
Kemudian nabi itu bertemu dengan orang lain, lalu ia berkata: "Pukullah aku!" Orang itu memukul dan melukai dia.	Saellana jareya nabbi buru manggi’i oreng laen laju adhabu, "Tore kaula pokol!" Daddi nabbi jareya bi’ oreng buru laju epokol epakaja sampe’ loka.
Sesudah itu nabi itu pergi dan berdiri menantikan raja di jalan, sambil menyamar dengan membubuh kain pembalut pada matanya.	Saellana jareya nabbi buru mowana ebetbet bi’ kaen terro ta’ etemmowa oreng, laju meyos pas ngadek e penggir jalan anante’ rato Isra’il lebat.
Pada waktu raja lewat, ia mengadukan halnya kepada raja, katanya: "Ketika hambamu ini maju ke tengah pertempuran, tiba-tiba ada seorang meninggalkan barisan dan membawa seorang kepadaku sambil berkata: Jagalah orang ini, jika ia hilang dengan cara bagaimanapun juga, maka nyawamu adalah ganti nyawanya, atau engkau harus membayar setalenta perak.	E bakto rato jareya lebat, nabbi gella’ aera’, "Guste Se Molja, e bakto abdidalem parappa’na aperrang e dhalem paperrangan, badha parjurit abakta settong moso se ekenneng tangkep ka abdidalem. Parjurit gapaneka ngoca’, ‘Jaga oreng paneka pateppa’. Mon sampe’ buru, sampeyan se kodu epate’e menangka gantena otaba majar tello ebu pesse salaka.’
Ketika hambamu ini repot sana sini, orang itu menghilang." Kemudian raja Israel itu berkata kepadanya: "Begitu jugalah hukumanmu, engkau sendiri telah menetapkannya."	Namong saamponnepon gapaneka e bakto abdidalem repot, oreng gapaneka buru." Dhabuna rato, "Ba’na la nantowagi okomanna dibi’. Ba’na kodu narema okoman jareya."
Lalu segeralah ia membuka kain pembalut itu dari matanya, sehingga raja Israel mengenali dia sebagai seorang dari rombongan nabi.	Nabbi jareya mokka’ betbedda mowana, daddi rato pas ngagali ja’ jareya nabbi.
Kata nabi itu kepadanya: "Beginilah firman TUHAN: Oleh karena engkau telah membiarkan lolos orang yang dikhususkan bagi-Ku untuk ditumpas, maka nyawamu adalah ganti nyawanya dan rakyatmu ganti rakyatnya."	Nabbi jareya laju mator ka rato, "Kadi ka’dhinto dhabuna PANGERAN, ‘Oreng se bi’ Sengko’ eparenta’agi sopaja epate’e eocol bi’ ba’na. Daddi ba’na kodu mate menangka gantena. Tantarana ba’na bakal ancorra sabab tantarana moso epanneng sampe’ ngenneng buru.’"
Lalu raja Israel pergi ke istananya dengan kesal hati dan gusar, maka sampailah ia di Samaria.	Rato jareya pas gubar ka Samaria, panggaliyanna duka.
Ketika Ahab memberitahukan kepada Izebel segala yang dilakukan Elia dan perihal Elia membunuh semua nabi itu dengan pedang,	Rato Ahab nyareta’agi ka Izebel rajina, sabarang se elampa’agi Eliya, bariya keya baramma Eliya se mate’e sakabbinna bi-nabbina Ba’al.
maka Izebel menyuruh seorang suruhan mengatakan kepada Elia: "Beginilah kiranya para allah menghukum aku, bahkan lebih lagi dari pada itu, jika besok kira-kira pada waktu ini aku tidak membuat nyawamu sama seperti nyawa salah seorang dari mereka itu."	Izebel pas makon oreng ka Eliya, epakon ngoca’ kantha reya, "Mandar sengko’ eokoma bi’ para diba, la’-mala’ mandar sengko’ epateyana, mon lagguna baja teya ba’na gi’ ta’ narema babales dhari sengko’ epakantha bi-nabbina Ba’al se epate’e ba’na rowa."
