Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Firman TUHAN kepadanya: "Sekali-kali tidak! Barangsiapa yang membunuh Kain akan dibalaskan kepadanya tujuh kali lipat." Kemudian TUHAN menaruh tanda pada Kain, supaya ia jangan dibunuh oleh barangsiapapun yang bertemu dengan dia.	PANGERAN adhabu, "Enja’, ta’ kera. Mon ba’na epate’e oreng, menangka babales, oreng se mate’e ba’na jareya ban oreng laenna, kabbi sampe’ kapetto, bakal mateya epate’e oreng keya." Bi’ PANGERAN Kain laju eparenge tandha menangka parengeddan ka sapa’a bai se tatemmo bi’ Kain sopaja ta’ sampe’a epate’e.
Lalu Kain pergi dari hadapan TUHAN dan ia menetap di tanah Nod, di sebelah timur Eden.	Kain laju ondur dhari ajunanna PANGERAN, pas enneng e tana Nod, e temoranna Eden.
Kain bersetubuh dengan isterinya dan mengandunglah perempuan itu, lalu melahirkan Henokh; kemudian Kain mendirikan suatu kota dan dinamainya kota itu Henokh, menurut nama anaknya.	Kain ban binena andhi’ ana’ lalake’ se enyamae Henokh. Saellana jareya Kain laju maddek kottha se enyamae Henokh, epapadha ban nyamana ana’na.
Bagi Henokh lahirlah Irad, dan Irad itu memperanakkan Mehuyael dan Mehuyael memperanakkan Metusael, dan Metusael memperanakkan Lamekh.	Henokh andhi’ ana’ Irad. Irad andhi’ ana’ Mehuya’el, ban Mehuya’el andhi’ ana’ Metusa’el, ban Metusa’el andhi’ ana’ Lamekh.
Lamekh mengambil isteri dua orang; yang satu namanya Ada, yang lain Zila.	Lamekh andhi’ bine dhadhuwa’, Ada ban Zila.
Ada itu melahirkan Yabal; dialah yang menjadi bapa orang yang diam dalam kemah dan memelihara ternak.	Ada andhi’ ana’ Yabal. Yabal jareya se daddi bangatowana bangsa se meyara ebin ban abengko e dhalem kemah.
Nama adiknya ialah Yubal; dialah yang menjadi bapa semua orang yang memainkan kecapi dan suling.	Yabal andhi’ ale’ nyamana Yubal; toronanna Yubal jareya se daddi tokang soleng ban tokang maen calempong.
Zila juga melahirkan anak, yakni Tubal-Kain, bapa semua tukang tembaga dan tukang besi. Adik perempuan Tubal-Kain ialah Naama.	Zila andhi’ ana’ nyamana Tubal-Kain; toronanna Tubal-Kain daddi pandhi se agabay rang-barang dhari dimbaga ban besse. Tubal-Kain andhi’ ale’ babine’, nyamana Na’ama.
Berkatalah Lamekh kepada kedua isterinya itu: "Ada dan Zila, dengarkanlah suaraku: hai isteri-isteri Lamekh, pasanglah telingamu kepada perkataanku ini: Aku telah membunuh seorang laki-laki karena ia melukai aku, membunuh seorang muda karena ia memukul aku sampai bengkak;	Lamekh ngoca’ ka binena se kadhuwa, "Ada ban Zila, mara edhingngagi. Sengko’ mate’e oreng lalake’ dha-ngodha, polana sengko’ epokol bi’ oreng jareya, sampe’ sengko’ loka.
sebab jika Kain harus dibalaskan tujuh kali lipat, maka Lamekh tujuh puluh tujuh kali lipat."	Mon oreng kapetto epate’e oreng menangka babalessa matena Kain, bakal badha’a oreng pettong polo petto’ se kodu epate’e mon sengko’ epate’e oreng."
Adam bersetubuh pula dengan isterinya, lalu perempuan itu melahirkan seorang anak laki-laki dan menamainya Set, sebab katanya: "Allah telah mengaruniakan kepadaku anak yang lain sebagai ganti Habel; sebab Kain telah membunuhnya."	Adam ban Hawa kaagungan Pottra lalake’ pole. Ca’na se bine’, "Allah apareng ana’ lalake’ pole ka sengko’, gantena Habil se epate’e Kain." Daddi kana’ jareya enyamae Set.
Lahirlah seorang anak laki-laki bagi Set juga dan anak itu dinamainya Enos. Waktu itulah orang mulai memanggil nama TUHAN.	Set andhi’ ana’ lalake’ se enyamae Enos. E bakto jareya oreng molae nyebbut asmana PANGERAN menangka baktena oreng ka Salerana
Inilah daftar keturunan Adam. Pada waktu manusia itu diciptakan oleh Allah, dibuat-Nyalah dia menurut rupa Allah;	Areya’ dhaftarra toronanna Adam. (E bakto Allah nyepta’agi manossa, manossa jareya epamerep Salerana.
Laki-laki dan perempuan diciptakan-Nya mereka. Ia memberkati mereka dan memberikan nama "Manusia" kepada mereka, pada waktu mereka diciptakan.	Se ecepta’agi lalake’ ban babine’, laju eberkadi sarta eparenge nyama "manossa".)
Setelah Adam hidup seratus tiga puluh tahun, ia memperanakkan seorang laki-laki menurut rupa dan gambarnya, lalu memberi nama Set kepadanya.	E bakto aomor saratos tello polo taon Adam kaagungan pottra lalake’ se merep salerana, nyamana Set.
Umur Adam, setelah memperanakkan Set, delapan ratus tahun, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Adam gi’ odhi’ ballung atos taon aggi’ sarta kaagungan pottra lalake’ ban babine’ laenna pole.
Jadi Adam mencapai umur sembilan ratus tiga puluh tahun, lalu ia mati.	Adam seda e bakto aomor sangang atos tello polo taon.
Setelah Set hidup seratus lima tahun, ia memperanakkan Enos.	E bakto aomor saratos lema’ taon Set andhi’ ana’ lalake’ nyamana Enos.
Dan Set masih hidup delapan ratus tujuh tahun, setelah ia memperanakkan Enos, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Set gi’ odhi’ ballung atos petto’ taon aggi’ sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Set mencapai umur sembilan ratus dua belas tahun, lalu ia mati.	Set mate e bakto aomor sangang atos dhubellas taon.
Setelah Enos hidup sembilan puluh tahun, ia memperanakkan Kenan.	E bakto aomor sangang polo taon Enos andhi’ ana’ lalake’ nyamana Kenan.
Dan Enos masih hidup delapan ratus lima belas tahun, setelah ia memperanakkan Kenan, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Enos gi’ odhi’ ballung atos lema bellas taon aggi’ sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Enos mencapai umur sembilan ratus lima tahun, lalu ia mati.	Enos mate e bakto aomor sangang atos lema’ taon.
Setelah Kenan hidup tujuh puluh tahun, ia memperanakkan Mahalaleel.	E bakto aomor pettong polo taon Kenan andhi’ ana’ lalake’ nyamana Mahalale’el.
Dan Kenan masih hidup delapan ratus empat puluh tahun, setelah ia memperanakkan Mahalaleel, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Kenan gi’ odhi’ ballung atos pa’ polo taon aggi’ sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Kenan mencapai umur sembilan ratus sepuluh tahun, lalu ia mati.	Kenan mate e bakto aomor sangang atos sapolo taon.
Setelah Mahalaleel hidup enam puluh lima tahun, ia memperanakkan Yared.	E bakto aomor sabidak lema’ taon Mahalale’el andhi’ ana’ lalake’ nyamana Yared.
Dan Mahalaleel masih hidup delapan ratus tiga puluh tahun, setelah ia memperanakkan Yared, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Mahalale’el gi’ odhi’ ballung atos tello polo taon aggi’, sarta andhi’ ana’, lalake’ ban babine’ laenna pole.
Jadi Mahalaleel mencapai umur delapan ratus sembilan puluh lima tahun, lalu ia mati.	Mahalale’el mate e bakto aomor ballung atos sangang polo lema’ taon.
Setelah Yared hidup seratus enam puluh dua tahun, ia memperanakkan Henokh.	E bakto aomor saratos sabidak dhuwa’ taon Yared andhi’ ana’ lalake’ nyamana Henokh.
Dan Yared masih hidup delapan ratus tahun, setelah ia memperanakkan Henokh, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Yared gi’ odhi’ ballung atos taon aggi’, sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Yared mencapai umur sembilan ratus enam puluh dua tahun, lalu ia mati.	Yared mate e bakto aomor sangang atos sabidak dhuwa’ taon.
Setelah Henokh hidup enam puluh lima tahun, ia memperanakkan Metusalah.	E bakto aomor sabidak lema’ taon Henokh andhi’ ana’ lalake’ nyamana Metusalah.
Dan Henokh hidup bergaul dengan Allah selama tiga ratus tahun lagi, setelah ia memperanakkan Metusalah, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Henokh gi’ odhi’ esto ka Allah tello ratos taon aggi’, sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Henokh mencapai umur tiga ratus enam puluh lima tahun.	Daddi Henokh odhi’ sampe’ aomor tello ratos sabidak lema’ taon.
Dan Henokh hidup bergaul dengan Allah, lalu ia tidak ada lagi, sebab ia telah diangkat oleh Allah.	Sarrena salanjangnga odhi’ esto ka Allah, Henokh laju elang epondhut bi’ Allah.
Setelah Metusalah hidup seratus delapan puluh tujuh tahun, ia memperanakkan Lamekh.	E bakto aomor saratos ballung polo petto’ taon Metusalah andhi’ ana’ lalake’ nyamana Lamekh.
Dan Metusalah masih hidup tujuh ratus delapan puluh dua tahun, setelah ia memperanakkan Lamekh, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Metusalah gi’ odhi’ pettong atos ballung polo dhuwa’ taon aggi’, sarta andhi’ ana’ babine’ ban lalake’ laenna pole.
Jadi Metusalah mencapai umur sembilan ratus enam puluh sembilan tahun, lalu ia mati.	Metusalah mate e bakto aomor sangang atos sabidak sanga’ taon.
Setelah Lamekh hidup seratus delapan puluh dua tahun, ia memperanakkan seorang anak laki-laki,	E bakto aomor saratos ballung polo dhuwa’ taon Lamekh andhi’ ana’ lalake’.
dan memberi nama Nuh kepadanya, katanya: "Anak ini akan memberi kepada kita penghiburan dalam pekerjaan kita yang penuh susah payah di tanah yang telah terkutuk oleh TUHAN."	Ca’na Lamekh, "Kana’ reya bakal daddiya panglepor ate ka sengko’ sabala e bakto alako berra’ agarap tana se la ebasto bi’ PANGERAN." Daddi kana’ jareya bi’ Lamekh enyamae Ennoh.
Dan Lamekh masih hidup lima ratus sembilan puluh lima tahun, setelah ia memperanakkan Nuh, dan ia memperanakkan anak-anak lelaki dan perempuan.	Saellana jareya Lamekh gi’ odhi’ lema ratos sangang polo lema’ taon aggi’, sarta andhi’ ana’ lalake’ ban babine’ laenna pole.
Jadi Lamekh mencapai umur tujuh ratus tujuh puluh tujuh tahun, lalu ia mati.	Lamekh mate e bakto aomor pettong atos pettong polo petto’ taon.
Setelah Nuh berumur lima ratus tahun, ia memperanakkan Sem, Ham dan Yafet	Saellana aomor lema ratos taon Ennoh andhi’ ana’ lalake’ katello, iya areya Sem, Ham ban Yafet
Ketika manusia itu mulai bertambah banyak jumlahnya di muka bumi, dan bagi mereka lahir anak-anak perempuan,	Saellana manossa reya atamba bannya’ e bume, sarta alahirragi ana’ babine’ sabannya’na,
maka anak-anak Allah melihat, bahwa anak-anak perempuan manusia itu cantik-cantik, lalu mereka mengambil isteri dari antara perempuan-perempuan itu, siapa saja yang disukai mereka.	lok-mahlok Illahi nangale’e ja’ babine’an jareya din-raddin. Daddi pas padha mele bang-sebang, se ekaleburi, laju ekabine.
Berfirmanlah TUHAN: "Roh-Ku tidak akan selama-lamanya tinggal di dalam manusia, karena manusia itu adalah daging, tetapi umurnya akan seratus dua puluh tahun saja."	PANGERAN adhabu, "Bi’ Sengko’ manossa reya ta’ epaodhi’a salanjangnga, sabab manossa reya mahlok se ta’ langgeng. Molae dhari sateya omorra manossa reya bi’ Sengko’ ta’ epalebbiya dhari saratos dhu polo taon."
Pada waktu itu orang-orang raksasa ada di bumi, dan juga pada waktu sesudahnya, ketika anak-anak Allah menghampiri anak-anak perempuan manusia, dan perempuan-perempuan itu melahirkan anak bagi mereka; inilah orang-orang yang gagah perkasa di zaman purbakala, orang-orang yang kenamaan.	E jaman jareya, bariya keya e jaman saellana jareya, e bume reya badha reng-oreng se badanna talebat raja ban talebat kowat, jareya toronanna babine’anna manossa ollena ban lok-mahlok Illahi gella’. Reng-oreng jareya kaetong oreng se kowat tor bangalan, pahlawan se kasohor.
Ketika dilihat TUHAN, bahwa kejahatan manusia besar di bumi dan bahwa segala kecenderungan hatinya selalu membuahkan kejahatan semata-mata,	E naleka PANGERAN ngoladi ja’ manossa e bume reya sajan atamba kajahadanna, ban pekkeranna ros-terrosan juba’,
maka menyesallah TUHAN, bahwa Ia telah menjadikan manusia di bumi, dan hal itu memilukan hati-Nya.	Salerana laju arassa kasta se abadhi manossa sarta nyaba’ manossa jareya e bume. Panggaliyanna ce’ kocebana.
Berfirmanlah TUHAN: "Aku akan menghapuskan manusia yang telah Kuciptakan itu dari muka bumi, baik manusia maupun hewan dan binatang-binatang melata dan burung-burung di udara, sebab Aku menyesal, bahwa Aku telah menjadikan mereka."	Sampe’ adhabu kantha reya, "Sengko’ ce’ kastana nyepta’agi manossa ban no’-mano’ sarta ban-keban laenna reya. Daddi sateya bi’ Sengko’ epatompessa kabbi."
Tetapi Nuh mendapat kasih karunia di mata TUHAN.	Tape Ennoh ekaneserre bi’ PANGERAN.
Inilah riwayat Nuh: Nuh adalah seorang yang benar dan tidak bercela di antara orang-orang sezamannya; dan Nuh itu hidup bergaul dengan Allah.	Areya’ caretana Ennoh. Ennoh reya kaagungan pottra katello, nyamana Sem, Ham ban Yafet. Ennoh ta’ tao agabay sala, ban e jaman jareya pera’ Ennoh malolo se teppa’ tengka gulina. Orengnga alem.
Adapun bumi itu telah rusak di hadapan Allah dan penuh dengan kekerasan.	Tape reng-oreng laenna monggu ka pangoladanna Allah padha juba’ tengkana, ban e man-dhimman padha jem-kejjem.
Allah menilik bumi itu dan sungguhlah rusak benar, sebab semua manusia menjalankan hidup yang rusak di bumi.	Allah ngoladi ka dunnya reya, ban ngagali ja’ dunnya reya rosak, sabab manossana padha juba’ kabbi odhi’na.
Berfirmanlah Allah kepada Nuh: "Aku telah memutuskan untuk mengakhiri hidup segala makhluk, sebab bumi telah penuh dengan kekerasan oleh mereka, jadi Aku akan memusnahkan mereka bersama-sama dengan bumi.	Allah adhabu ka Ennoh, "Sengko’ la motossagi mamosna’a manossa reya kabbi. Bi’ Sengko’ epatompessa epatadha’a karena, sabab bume reya possa’ bi’ kakejjemmanna manossa jareya.
Buatlah bagimu sebuah bahtera dari kayu gofir; bahtera itu harus kaubuat berpetak-petak dan harus kaututup dengan pakal dari luar dan dari dalam.	Kassa’ ba’na agabay parao dhari kaju se bagus, pobuwi keng-pangkeng; bagiyan lowar ban bagiyan dhalemma kole’e ban pakal.
Beginilah engkau harus membuat bahtera itu: tiga ratus hasta panjangnya, lima puluh hasta lebarnya dan tiga puluh hasta tingginya.	Lanjangnga kagabay saratos tello polo tello meter, lebarra dhu lekor meter, ban tenggina tello bellas meter.
Buatlah atap pada bahtera itu dan selesaikanlah bahtera itu sampai sehasta dari atas, dan pasanglah pintunya pada lambungnya; buatlah bahtera itu bertingkat bawah, tengah dan atas.	Parao jareya pasange ata’; e antarana ata’ ban bagiyan erengnga parao jareya ella’e pa’ polo empa’ sentimeter. Parao jareya pasoson tello’, e bagiyan erengnga pasange labang settong.
Sebab sesungguhnya Aku akan mendatangkan air bah meliputi bumi untuk memusnahkan segala yang hidup dan bernyawa di kolong langit; segala yang ada di bumi akan mati binasa.	Sengko’ madhatengnga banjir ka bume reya sopaja mahlok se odhi’ padha’a mate kabbi. Sabarang se badha e bume reya bakal mateya kabbi.
Tetapi dengan engkau Aku akan mengadakan perjanjian-Ku, dan engkau akan masuk ke dalam bahtera itu: engkau bersama-sama dengan anak-anakmu dan isterimu dan isteri anak-anakmu.	Tape Sengko’ mabadha’a parjanjiyan ban ba’na. Ba’na ban binena, ban na’-ana’na sarta binena na’-ana’na, maso’ kabbi ka dhalem parao jareya.
Dan dari segala yang hidup, dari segala makhluk, dari semuanya haruslah engkau bawa satu pasang ke dalam bahtera itu, supaya terpelihara hidupnya bersama-sama dengan engkau; jantan dan betina harus kaubawa.	Ba’na kodu ngeba keya samacemma keban ban samacemma mano’ sajudhu ebang, pamaso’ ka parao jareya, me’ olle gi’ badha se odhi’.
Dan engkau, bawalah bagimu segala apa yang dapat dimakan; kumpulkanlah itu padamu untuk menjadi makanan bagimu dan bagi mereka."	Ja’ kaloppae ngeba sango, apa’a bai se ekakana ba’na ban sakabbinna se noro’ ba’na e parao jareya."
Lalu Nuh melakukan semuanya itu; tepat seperti yang diperintahkan Allah kepadanya, demikianlah dilakukannya.	Ennoh alampa’agi sabarang se epakonnagi bi’ Allah jareya.
Lalu berfirmanlah TUHAN kepada Nuh: "Masuklah ke dalam bahtera itu, engkau dan seisi rumahmu, sebab engkaulah yang Kulihat benar di hadapan-Ku di antara orang zaman ini.	PANGERAN adhabu ka Ennoh, "Sengko’ tao ja’ pera’ ba’na manossa se ajalannagi Tang parenta. Daddi kassa’ ba’na ban saessena bengkona maso’ ka parao rowa.
Dari segala binatang yang tidak haram haruslah kauambil tujuh pasang, jantan dan betinanya, tetapi dari binatang yang haram satu pasang, jantan dan betinanya;	Giba keya samacemma mano’ ban samacemma keban se halal pettong judhu ebang, dineng keban se haram sajudhu ebang bai. Parlona sopaja samacemma keban ban mano’ ta’ sampe’a mate kabbi, me’ olle badha se pas adhu’-budhu’ e bume.
Sebab tujuh hari lagi Aku akan menurunkan hujan ke atas bumi empat puluh hari empat puluh malam lamanya, dan Aku akan menghapuskan dari muka bumi segala yang ada, yang Kujadikan itu."	Pettong are aggi’ Sengko’ matorona ojan se ta’ kera badha terrangnga pa’ polo are pa’ polo malem abidda, sopaja lok-mahlok se odhi’ se ecepta’agi Sengko’ padha’a tompes kabbi."
Lalu Nuh melakukan segala yang diperintahkan TUHAN kepadanya.	Ennoh alampa’agi sakabbinna papakonna PANGERAN jareya.
Nuh berumur enam ratus tahun, ketika air bah datang meliputi bumi.	E bakto banjir jareya dhateng, yuswana Ennoh nem atos taon.
Masuklah Nuh ke dalam bahtera itu bersama-sama dengan anak-anaknya dan isterinya dan isteri anak-anaknya karena air bah itu.	Ennoh ban rajina, ban tra-pottrana sarta binena tra-pottrana, laju padha maso’ ka dhalem paraona sopaja salamedda dhari banjir jareya.
Dari binatang yang tidak haram dan yang haram, dari burung-burung dan dari segala yang merayap di muka bumi,	Samacemma mano’ ban keban, se halal ban se haram, dhu-sajudhu ebang
